============================================================
  Logo Scraper Run -- 2026-06-04_09-47-05
============================================================

[09:47:22] Total colleges in 'colleges' folder : 1076
[09:47:22] Already completed (logos exist)         : 914
[09:47:22] Remaining to process                    : 162
[09:47:22] Logos output root                       : C:\Users\Boni\Desktop\Projects\alting_img\logos
[09:47:22] Log file                                : C:\Users\Boni\Desktop\Projects\alting_img\logs\run_2026-06-04_09-47-05.txt
[09:47:22] 
--- Skipping already-done colleges ---
[09:47:22]   [skip] abilene christian university
[09:47:22]   [skip] adelphi university
[09:47:22]   [skip] agnes scott college
[09:47:22]   [skip] air force institute of technology
[09:47:22]   [skip] alabama a&m university
[09:47:22]   [skip] alabama state university
[09:47:22]   [skip] alaska pacific university
[09:47:22]   [skip] albertson college of idaho
[09:47:22]   [skip] albion college
[09:47:22]   [skip] alderson-broaddus college
[09:47:22]   [skip] alfred university
[09:47:22]   [skip] allegheny college
[09:47:22]   [skip] allentown college of saint francis de sales
[09:47:22]   [skip] alma college
[09:47:22]   [skip] alverno college
[09:47:22]   [skip] ambassador university
[09:47:22]   [skip] american graduate school of international management
[09:47:22]   [skip] american international college
[09:47:22]   [skip] american university
[09:47:22]   [skip] amherst college
[09:47:22]   [skip] andrews university
[09:47:22]   [skip] angelo state university
[09:47:22]   [skip] antioch college
[09:47:22]   [skip] antioch new england
[09:47:22]   [skip] antioch university-los angeles
[09:47:22]   [skip] antioch university-seattle
[09:47:22]   [skip] appalachian state university
[09:47:22]   [skip] aquinas college
[09:47:22]   [skip] arizona state university
[09:47:22]   [skip] arizona state university east
[09:47:22]   [skip] arizona state university west
[09:47:22]   [skip] arizona western college
[09:47:22]   [skip] arkansas tech university
[09:47:22]   [skip] armstrong state college
[09:47:22]   [skip] ashland university
[09:47:22]   [skip] athens state college
[09:47:22]   [skip] auburn university
[09:47:22]   [skip] auburn university - montgomery
[09:47:22]   [skip] augsburg college
[09:47:22]   [skip] augustana college
[09:47:22]   [skip] aurora university
[09:47:22]   [skip] austin college
[09:47:22]   [skip] austin peay state university
[09:47:22]   [skip] averett college
[09:47:22]   [skip] azusa pacific university
[09:47:22]   [skip] babson college
[09:47:22]   [skip] baker university
[09:47:22]   [skip] baldwin-wallace college
[09:47:22]   [skip] ball state university
[09:47:22]   [skip] baptist bible college
[09:47:22]   [skip] bard college
[09:47:22]   [skip] barry university
[09:47:22]   [skip] bastyr university
[09:47:22]   [skip] bates college
[09:47:22]   [skip] baylor college of medicine
[09:47:22]   [skip] baylor university
[09:47:22]   [skip] beaver college
[09:47:22]   [skip] belmont university
[09:47:22]   [skip] beloit college
[09:47:22]   [skip] bemidji state university
[09:47:22]   [skip] benedictine college
[09:47:22]   [skip] bennington college
[09:47:22]   [skip] bentley college
[09:47:22]   [skip] berea college
[09:47:22]   [skip] berklee college of music
[09:47:22]   [skip] bethany college
[09:47:22]   [skip] bethel college
[09:47:22]   [skip] bethel college and seminary
[09:47:22]   [skip] biola university
[09:47:22]   [skip] birmingham-southern college
[09:47:22]   [skip] black hills state university
[09:47:22]   [skip] bloomsburg university of pennsylvania
[09:47:22]   [skip] bluffton college
[09:47:22]   [skip] bob jones university
[09:47:22]   [skip] boise state university
[09:47:22]   [skip] boston college
[09:47:22]   [skip] boston graduate school of psychoanalysis
[09:47:22]   [skip] boston university
[09:47:22]   [skip] bowdoin college
[09:47:22]   [skip] bowie state university
[09:47:22]   [skip] bowling green state university
[09:47:22]   [skip] bradley university
[09:47:22]   [skip] brandeis university
[09:47:22]   [skip] brenau university
[09:47:22]   [skip] briar cliff college
[09:47:22]   [skip] bridgewater college
[09:47:22]   [skip] brigham young university
[09:47:22]   [skip] brigham young university hawaii
[09:47:22]   [skip] brown university
[09:47:22]   [skip] bryant college
[09:47:22]   [skip] bryn mawr college
[09:47:22]   [skip] bucknell university
[09:47:22]   [skip] buena vista university
[09:47:22]   [skip] butler university
[09:47:22]   [skip] california coast university
[09:47:22]   [skip] california institute of technology
[09:47:22]   [skip] california lutheran university
[09:47:22]   [skip] california maritime academy
[09:47:22]   [skip] california national university
[09:47:22]   [skip] california polytechnic state university, san luis obispo
[09:47:22]   [skip] california school of professional psychology
[09:47:22]   [skip] california state polytechnic university, pomona
[09:47:22]   [skip] california state university system
[09:47:23]   [skip] california state university, bakersfield
[09:47:23]   [skip] california state university, chico
[09:47:23]   [skip] california state university, dominguez hills
[09:47:23]   [skip] california state university, fresno
[09:47:23]   [skip] california state university, fullerton
[09:47:23]   [skip] california state university, hayward
[09:47:23]   [skip] california state university, long beach
[09:47:23]   [skip] california state university, los angeles
[09:47:23]   [skip] california state university, monterey bay
[09:47:23]   [skip] california state university, northridge
[09:47:23]   [skip] california state university, sacramento
[09:47:23]   [skip] california state university, san bernardino
[09:47:23]   [skip] california state university, san jose
[09:47:23]   [skip] california state university, san marcos
[09:47:23]   [skip] california state university, stanislaus
[09:47:23]   [skip] california university of pennsylvania
[09:47:23]   [skip] calvin college
[09:47:23]   [skip] cameron university
[09:47:23]   [skip] campbell university
[09:47:23]   [skip] campbellsville college
[09:47:23]   [skip] canisius college
[09:47:23]   [skip] carleton college
