============================================================
  Logo Scraper Run -- 2026-06-04_13-56-27
============================================================

[13:56:29] Total colleges in 'colleges' folder : 1076
[13:56:29] Already completed (logos exist)         : 1002
[13:56:29] Remaining to process                    : 74
[13:56:29] Logos output root                       : C:\Users\Boni\Desktop\Projects\alting_img\logos
[13:56:29] Log file                                : C:\Users\Boni\Desktop\Projects\alting_img\logs\run_2026-06-04_13-56-27.txt
[13:56:29] 
--- Skipping already-done colleges ---
[13:56:29]   [skip] abilene christian university
[13:56:29]   [skip] adelphi university
[13:56:29]   [skip] agnes scott college
[13:56:29]   [skip] air force institute of technology
[13:56:29]   [skip] alabama a&m university
[13:56:29]   [skip] alabama state university
[13:56:29]   [skip] alaska pacific university
[13:56:29]   [skip] albertson college of idaho
[13:56:29]   [skip] albion college
[13:56:29]   [skip] alderson-broaddus college
[13:56:29]   [skip] alfred university
[13:56:29]   [skip] allegheny college
[13:56:29]   [skip] allentown college of saint francis de sales
[13:56:29]   [skip] alma college
[13:56:29]   [skip] alverno college
[13:56:29]   [skip] ambassador university
[13:56:29]   [skip] american graduate school of international management
[13:56:29]   [skip] american international college
[13:56:29]   [skip] american university
[13:56:29]   [skip] amherst college
[13:56:29]   [skip] andrews university
[13:56:29]   [skip] angelo state university
[13:56:29]   [skip] antioch college
[13:56:29]   [skip] antioch new england
[13:56:29]   [skip] antioch university-los angeles
[13:56:29]   [skip] antioch university-seattle
[13:56:29]   [skip] appalachian state university
[13:56:29]   [skip] aquinas college
[13:56:29]   [skip] arizona state university
[13:56:29]   [skip] arizona state university east
[13:56:29]   [skip] arizona state university west
[13:56:29]   [skip] arizona western college
[13:56:29]   [skip] arkansas tech university
[13:56:29]   [skip] armstrong state college
[13:56:29]   [skip] ashland university
[13:56:29]   [skip] athens state college
[13:56:29]   [skip] auburn university
[13:56:29]   [skip] auburn university - montgomery
[13:56:29]   [skip] augsburg college
[13:56:29]   [skip] augustana college
[13:56:29]   [skip] aurora university
[13:56:29]   [skip] austin college
[13:56:29]   [skip] austin peay state university
[13:56:29]   [skip] averett college
[13:56:29]   [skip] azusa pacific university
[13:56:29]   [skip] babson college
[13:56:29]   [skip] baker university
[13:56:29]   [skip] baldwin-wallace college
[13:56:29]   [skip] ball state university
[13:56:29]   [skip] baptist bible college
[13:56:29]   [skip] bard college
[13:56:29]   [skip] barry university
[13:56:29]   [skip] bastyr university
[13:56:29]   [skip] bates college
[13:56:29]   [skip] baylor college of medicine
[13:56:29]   [skip] baylor university
[13:56:29]   [skip] beaver college
[13:56:29]   [skip] belmont university
[13:56:29]   [skip] beloit college
[13:56:29]   [skip] bemidji state university
[13:56:29]   [skip] benedictine college
[13:56:29]   [skip] bennington college
[13:56:29]   [skip] bentley college
[13:56:29]   [skip] berea college
[13:56:29]   [skip] berklee college of music
[13:56:29]   [skip] bethany college
[13:56:29]   [skip] bethel college
[13:56:29]   [skip] bethel college and seminary
[13:56:29]   [skip] biola university
